"internalName","localizationId","resourceClass_0x44","workerPriceMultiplier","unknown_0x054","dollarBuyPrice","rubleBuyPrice","directDollarPriceComponent","directRublePriceComponent","dollarSellMultiplier","dollarBuyMultiplier","positiveImbalanceScaleDollar","negativeImbalanceScaleDollar","rubleFlowCouplingIntoDollar","dynamicDollarPriceMultiplier","rubleSellMultiplier","rubleBuyMultiplier","positiveImbalanceScaleRuble","negativeImbalanceScaleRuble","dollarFlowCouplingIntoRuble","dynamicRublePriceMultiplier","unknown_0xC8","unknown_0x0CC","unknown_0x0D0","unknown_0x0D4","unknown_0x0E8","unknown_0x0EC","unknown_0x0F0","unknown_0x0F4","unknown_0x10C","unknown_0x110","unknown_0x114","unknown_0x12C","unknown_0x130","unknown_0x134","unknown_0x138","unknown_0x13C","unknown_0x14C","unknown_0x150","unknown_0x154","unknown_0x16C","unknown_0x170","unknown_0x174","unknown_0x18C","unknown_0x190","unknown_0x194","unknown_0x1AC","unknown_0x1B0","unknown_0x1B4","unknown_0x1CC","unknown_0x1D0","unknown_0x1D4","unknown_0x1EC","unknown_0x1F0","unknown_0x1F4","unknown_0x20C","unknown_0x210","unknown_0x214","unknown_0x22C","unknown_0x230","unknown_0x234","unknown_0x248","unknown_0x24C","unknown_0x250","unknown_0x254","unknown_0x26C","unknown_0x270","unknown_0x274","unknown_0x28C","unknown_0x290","unknown_0x294","unknown_0x2AC","unknown_0x2B0","unknown_0x2B4","unknown_0x2B8","unknown_0x2BC","unknown_0x2CC","unknown_0x2D0","unknown_0x2D4","unknown_0x2D8","unknown_0x2DC","isWasteResource","unknown_0x2F0","unknown_0x2F4","recyclingMaterialFamily","unknown_0x310","meshAndMaterialAssets"
"prefabpanels","511","1","0","0","11","10","0","0","0,949999988","1,04999995","500","1800","0,5","1","0,949999988","1,04999995","1500","3000","0,5","1","0","0,800000012","5","5","0","0,899999976","0,5","1,25","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,899999976","0,5","1,25","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/prefabpanels.nmf; resources/prefabpanels.mtl"
"bricks","519","1","0","0","15","13","0","0","0,949999988","1,04999995","1800","2300","0,5","1","0,949999988","1,04999995","1300","3200","0,5","1","0","0,800000012","5","5","0","0,800000012","0,75","1,75","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,800000012","0,75","1,75","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/bricks.nmf; resources/bricks.mtl"
"wood","503","0","0","0","15","9","7,5","7,5","0,949999988","1,04999995","8000","700","0,5","1","0,949999988","1,04999995","1700","3500","0,5","1","0","0,800000012","5","5","0","1","1,25","2,5","1","0,5","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1,25","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0,300000012","resources/wood.nmf; resources/wood.mtl"
"oil","505","0","0","0","30","28","40","40","0,949999988","1,04999995","8000","8000","0,850000024","1","0,949999988","1,04999995","9500","9500","0,850000024","1","0","0,800000012","5","5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1,25","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"chemicals","507","0","0","0","55","54","0","0","0,949999988","1,04999995","150","190","0,75","1","0,949999988","1,04999995","140","250","0,75","1","1","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"coal","508","0","0","0","20","17","0","0","0,949999988","1,04999995","9500","9500","0,649999976","1","0,949999988","1,04999995","9500","9500","0,649999976","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0,300000012","resources/coal_vehicle.nmf; resources/coal.mtl; resources/coal1.nmf; resources/coal2.nmf; resources/coal3.nmf; resources/coal4.nmf"
"rawcoal","523","0","0","0","20","17","5,30000019","5,30000019","0,949999988","1,04999995","7000","7000","0,649999976","1","0,949999988","1,04999995","7000","7000","0,649999976","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0,300000012","resources/rawcoal_vehicle.nmf; resources/rawcoal.mtl; resources/rawcoal1.nmf; resources/rawcoal2.nmf; resources/rawcoal3.nmf; resources/rawcoal4.nmf"
"iron","509","0","0","0","24","21","0","0","0,949999988","1,04999995","6500","7500","0,5","1","0,949999988","1,04999995","5500","9500","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0,300000012","resources/iron_vehicle.nmf; resources/iron.mtl; resources/iron1.nmf; resources/iron2.nmf; resources/iron3.nmf; resources/iron4.nmf"
"rawiron","524","0","0","0","24","21","4,5","4,5","0,949999988","1,04999995","5500","6000","0,5","1","0,949999988","1,04999995","4500","8500","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0,300000012","resources/rawiron_vehicle.nmf; resources/rawiron.mtl; resources/rawiron1.nmf; resources/rawiron2.nmf; resources/rawiron3.nmf; resources/rawiron4.nmf"
"bauxite","540","0","0","0","27","26","0","0","0,949999988","1,04999995","6500","7500","0,5","1","0,949999988","1,04999995","5500","9500","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0,300000012","resources/bauxite_vehicle.nmf; resources/bauxite.mtl; resources/bauxite1.nmf; resources/bauxite2.nmf; resources/bauxite3.nmf; resources/bauxite4.nmf"
"rawbauxite","539","0","0","0","27","26","4,5","4,5","0,949999988","1,04999995","3500","4000","0,5","1","0,949999988","1,04999995","3800","5500","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0,300000012","resources/rawbauxite_vehicle.nmf; resources/rawbauxite.mtl; resources/rawbauxite1.nmf; resources/rawbauxite2.nmf; resources/rawbauxite3.nmf"
"bitumen","513","0","0","0","15","14","0","0","0,949999988","1,04999995","1700","1800","0,75","1","0,949999988","1,04999995","1400","2800","0,75","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,300000012","2,5","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"boards","504","1","0","0","16","12","0","0","0,949999988","1,04999995","8000","700","0,5","1","0,949999988","1,04999995","1700","4500","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1,25","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0,300000012","resources/boards.nmf; resources/boards.mtl"
"uranium","534","0","0","0","1,29999995","1,29999995","5,19999981","4,19999981","0,949999988","1,04999995","800","1700","0,5","1","0,949999988","1,04999995","1200","2400","0,5","1","0","0,300000012","2,5","2,5","0","1","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","1","1,25","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012","resources/uranium_vehicle.nmf; resources/uranium.mtl; resources/uranium1.nmf; resources/uranium2.nmf; resources/uranium3.nmf; resources/uranium4.nmf"
"yellowcake","535","1","0","0","16","12","0","0","0,949999988","1,04999995","250","170","0,5","1","0,949999988","1,04999995","300","200","0,5","1","0","0,300000012","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","1,25","2,5","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012","resources/yellowcake.nmf; resources/yellowcake.mtl"
"uf6","536","1","0","0","16","12","0","0","0,949999988","1,04999995","80","40","0,5","1","0,949999988","1,04999995","50","35","0,5","1","1","0,300000012","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","1,25","2,5","0","1","2,5","2,5","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"nuclearfuel","537","1","0","0","16","12","0","0","0,949999988","1,04999995","30","20","0,5","1","0,949999988","1,04999995","40","25","0,5","1","1","0,300000012","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","1,25","2,5","0","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"nuclearfuelburned","538","1","127","0","16","12","0","0","0,949999988","1,04999995","80","40","0,5","1","0,949999988","1,04999995","50","35","0,5","1","1","0,300000012","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","1,25","2,5","0","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"fuel","506","1","0","0","95","80","0","0","0,949999988","1,04999995","3000","3500","0,5","1","0,949999988","1,04999995","3000","3500","0,5","1","0","0,300000012","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","1,25","2,5","0","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012",""
"fabric","510","1","0","0","70","60","0","0","0,949999988","1,04999995","700","450","0,5","1","0,949999988","1,04999995","800","350","0,5","1","1","0,699999988","3,5","3,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,699999988","3,5","3,5","0","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"alcohol","512","1","0","0","150","120","0","0","0,949999988","1,04999995","200","350","0,5","1","0,949999988","1,04999995","500","500","0,5","1","1","0,5","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","0","0","0","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","2,5","2,5","0","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"cement","516","1","0","0","10","7","0","0","0,949999988","1,04999995","1400","1600","0,5","1","0,949999988","1,04999995","1200","1800","0,5","1","0","0,5","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,449999988","0,599999964","0,599999964","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"alumina","541","1","0","0","10","7","0","0","0,949999988","1,04999995","1400","1600","0,5","1","0,949999988","1,04999995","1200","1800","0,5","1","0","0,5","2,5","2,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,449999988","0,599999964","0,599999964","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"food","502","2","0","0","53","47","0","0","0,949999988","1,04999995","200","350","0,5","1","0,949999988","1,04999995","290","350","0,5","1","1","0,5","3,5","3,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","3,5","3,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"clothes","515","2","0","0","230","225","0","0","0,949999988","1,04999995","130","200","0,5","1","0,949999988","1,04999995","220","240","0,5","1","1","0,5","3,5","3,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0","0","0","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,5","3,5","3,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"meat","514","3","0","0","450","380","0","0","0,949999988","1,04999995","180","150","0,5","1","0,949999988","1,04999995","250","250","0,5","1","1","0,5","3,5","3,5","0","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0","0","0","1","5","5","0","0","0","1","1","1","1","1","1","0,25","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"livestock","520","2","0","0","95","80","0","0","0,949999988","1,04999995","250","180","0,5","1","0,949999988","1,04999995","300","300","0,5","1","0","0,349999994","2","2","1","0,600000024","1,25","2,5","1","0,5","30","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","0","0","0","1","1","1","1","1","1","0,349999994","2","2","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0,300000012","resources/livestock_vehicle.nmf; resources/livestock.mtl; resources/livestock.nmf"
"asphalt","525","3","0","0","35","35","0","0","0,949999988","1,04999995","1800","1800","0,5","1","0,949999988","1,04999995","2500","2500","0,5","1","0","0,349999994","2","2","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","0","0","0","1","1","1","1","1","1","0,349999994","2","2","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012","resources/asphalt_vehicle.nmf; resources/asphalt.mtl"
"concrete","526","3","0","0","35","35","0","0","0,949999988","1,04999995","2800","2800","0,5","1","0,949999988","1,04999995","3700","3700","0,5","1","0","0,349999994","2","2","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,349999994","2","2","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0,300000012",""
"ecomponents","527","3","0","0","230","225","0","0","0,949999988","1,04999995","150","250","0,5","1","0,949999988","1,04999995","220","150","0,5","1","1","0,349999994","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,349999994","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"mcomponents","530","3","0","0","220","220","0","0","0,949999988","1,04999995","250","470","0,5","1","0,949999988","1,04999995","450","350","0,5","1","1","0,5","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,5","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"plastics","531","3","0","0","220","220","0","0","0,949999988","1,04999995","350","500","0,5","1","0,949999988","1,04999995","470","250","0,5","1","1","0,25","4","4","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,25","4","4","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"eletronics","528","4","0","0","730","725","0","0","0,949999988","1,04999995","110","280","0,5","1","0,949999988","1,04999995","250","100","0,5","1","1","0,349999994","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,349999994","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"explosives","563","0","0","0","10","10","15","13","0,949999988","1,04999995","200","350","0,5","1","0,949999988","1,04999995","500","500","0,5","1","1","0,400000006","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,400000006","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0,300000012","resources/generalcargo_vehicle.nmf; resources/generalcargo_vehicle.mtl"
"water","543","0","0","0","1,04999995","1,10000002","0,300000012","0,200000003","0,949999988","1,04999995","800","800","0,850000024","1","0,949999988","1,04999995","950","950","0,850000024","1","0","0,400000006","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,400000006","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","1","5","5","0,049999997","0,049999997","1","5","5","0,049999997","0,049999997","0","0","0","4294967295","0,300000012",""
"usagewater","544","0","1","0","0,119999997","0,100000001","40","40","0,949999988","1,04999995","300","200","0,850000024","1","0,949999988","1,04999995","400","100","0,850000024","1","0","0,400000006","2,5","2,5","1","0,600000024","1,25","2,5","1","5","20","1","5","5","0,049999997","0,049999997","1","1,5","1,5","0,5","3,5","3,5","0,75","4","4","1","5","5","1","5","20","1","1","1","1","1","1","0,400000006","2,5","2,5","1","1","2,5","2,5","1","2,5","2,5","1","1","1","1","5","5","0,049999997","0,049999997","1","5","5","0,049999997","0,049999997","0","0","0","4294967295","0,300000012",""
